"Guid","AccountSource","AnnualRevenue","BillingCity","BillingCountry","BillingEmail__c","BillingGeocodeAccuracy","BillingLatitude","BillingLongitude","BillingPostalCode","BillingState","BillingStreet","CorporateLocations__c","Description","Fax","FranchiseLocations__c","Industry","IsCustomerPortal","Jigsaw","Name","NumberOfEmployees","ParentId","Phone","SBQQ__AssetQuantitiesCombined__c","SBQQ__CoTermedContractsCombined__c","SBQQ__CoTerminationEvent__c","SBQQ__ContractCoTermination__c","SBQQ__DefaultOpportunity__c","SBQQ__IgnoreParentContractedPrices__c","SBQQ__PreserveBundle__c","SBQQ__PriceHoldEnd__c","SBQQ__RenewalModel__c","SBQQ__RenewalPricingMethod__c","SBQQ__TaxExempt__c","ShippingCity","ShippingCountry","ShippingGeocodeAccuracy","ShippingLatitude","ShippingLongitude","ShippingPostalCode","ShippingState","ShippingStreet","SicDesc","TaxID__c","Test_Field__c","Type","Website","blng__BillToContact__c","blng__CustomerProfileId__c","blng__DefaultPaymentType__c","ccrz__CustomField1__c","ccrz__CustomField2__c","ccrz__DataId__c","ccrz__PreventAddrBookSave__c","ccrz__PreventNewAddrCheckout__c","ccrz__PreventNewBillAddrCO__c","ccrz__SourceSystem__c","ccrz__TaxExemptAccount__c","ccrz__UsedByCloudcraze__c"
224241e2-db4e-42d8-8ad2-4febc3844140,"#N/A","#N/A","#N/A","#N/A",accounting@ihg.com.invalid.invalid,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",2950.0,"#N/A","#N/A",3000.0,Hospitality,false,"#N/A",IHG Hotels & Resorts,9636,"#N/A","#N/A",false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",73-6482303,"#N/A",Prospect,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,false,false,"#N/A",false,false
2ca9c36e-5488-4632-afc1-f2bfe1943292,"#N/A","#N/A","#N/A","#N/A",ap@pizzahut.com,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",703.0,"#N/A","#N/A",18000.0,Restaurant,false,"#N/A",Pizza Hut,"#N/A","#N/A","#N/A",false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",12-3456789,"#N/A",Prospect,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,false,false,"#N/A",false,false
2e7b82de-bcd9-4663-b260-71e050777a55,"#N/A","#N/A","#N/A","#N/A",billing@cedarpoint.com,"#N/A","#N/A","#N/A","#N/A",OH,"#N/A",1.0,"#N/A","#N/A",0.0,Entertainment,false,"#N/A",Cedar Point,2600,"#N/A","#N/A",false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",12-3456789,"#N/A",Customer,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,false,false,"#N/A",false,false
3126306b-780a-4f7d-b4eb-d1cecf8ba1be,"#N/A","#N/A",San Francisco,USA,ap@salesforce.com,"#N/A","#N/A","#N/A",94105,CA,"The Landmark @ One Market, Suite 300",33.0,"Founded in March 1999, salesforce.com (http://www.salesforce.com) builds and delivers customer relationship management (CRM) applications as scalable online services. The salesforce.com product suite - Team Edition, Professional Edition, Enterprise Edition, Wireless Edition and Offline Edition - gives companies of all sizes a complete 360-degree view of the customer. The company's award-winning CRM solutions provide integrated online sales force automation, customer service and support management, and marketing automation applications to help companies meet the complex challenges of global customer communication. Salesforce.com has received considerable recognition in the industry, including Editors' Choice and two Five-Star ratings from PC Magazine, two Deploy Awards from InfoWorld, Red Herring 100, Upside Hot 100, Investor's Choice Award from Enterprise Outlook, Editors' Choice from TMCLabs, Top 10 CRM Implementation from Aberdeen Group, and InfoWorld's 2001 CRM Technology of the Year. Founded in 1999, salesforce.com is headquartered in San Francisco, with offices in Europe and Asia.",(415) 901-7040,0.0,Corporate Office,false,"#N/A",salesforce.com,"#N/A","#N/A",(415) 901-7000,false,false,"#N/A","#N/A","#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",San Francisco,USA,"#N/A","#N/A","#N/A",94105,CA,"The Landmark @ One Market, Suite 300","#N/A",12-3456789,"#N/A",Prospect,http://www.salesforce.com,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,false,false,"#N/A",false,false
344232da-f21a-444c-bdcf-199f5907b0d7,"#N/A","#N/A","#N/A","#N/A",accounting@saintmarys.edu,"#N/A","#N/A","#N/A","#N/A",IN,"#N/A",1.0,"#N/A","#N/A",0.0,Education,false,"#N/A",Saint Mary's College,350,"#N/A","#N/A",false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",12-3456789,"#N/A",Customer,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,false,false,"#N/A",false,false
4e4e4be2-40d4-4158-8cf1-678fc59bf83d,"#N/A","#N/A","#N/A","#N/A",ap@hyatt.com.invalid.invalid,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",518.0,"#N/A","#N/A",378.0,Hospitality,false,"#N/A",Hyatt Hotels Corporation,100000,"#N/A","#N/A",false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",82-1533604,"#N/A",Prospect,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,false,false,"#N/A",false,false
5eaf164b-3a5d-4c27-9608-b9fb6dac1ef8,"#N/A","#N/A","#N/A","#N/A",ap@sixflags.com,"#N/A","#N/A","#N/A","#N/A",TX,"#N/A",26.0,"#N/A","#N/A",0.0,Entertainment,false,"#N/A",Six Flags Entertainment,"#N/A","#N/A","#N/A",false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",12-3456789,"#N/A",Prospect,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,false,false,"#N/A",false,false
64f330f3-8ba0-4377-a104-0f46117ef6b7,"#N/A",1.0E8,New York,USA,billing@acme.com,"#N/A","#N/A","#N/A",31349,NY,10 Main Rd.,5.0,"#N/A",(212) 555-5555,0.0,Corporate Office,false,"#N/A",Acme,680,"#N/A",(212) 555-5555,false,false,"#N/A","#N/A","#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",New York,USA,"#N/A","#N/A","#N/A",31349,NY,10 Main Rd.,"#N/A",12-3456789,"#N/A",Prospect,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,false,false,"#N/A",false,false
76bb4dd3-13ad-4f74-8a5e-e2cdc7f58b34,"#N/A","#N/A","#N/A","#N/A",ap@universal.com,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",4.0,"#N/A","#N/A",0.0,Entertainment,false,"#N/A",Universal Studios,"#N/A","#N/A","#N/A",false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",12-3456789,"#N/A",Prospect,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,false,false,"#N/A",false,false
83e06753-f4d1-4b9f-bd34-8f0b09e1a627,"#N/A","#N/A","#N/A","#N/A",billing@popeyes.co,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",30.0,"#N/A","#N/A",3072.0,Restaurant,false,"#N/A",Popeyes,"#N/A","#N/A","#N/A",false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",12-3456789,"#N/A",Customer,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,false,false,"#N/A",false,false
